class,url
Alcohol use disorder,https://www.youtube.com/watch?v=WH5arkqolJg
Acute stress disorder,https://www.youtube.com/watch?v=VgdAcENXy84
Depressive disorder,https://www.youtube.com/watch?v=Y9A5wuTtblw
Behavioral addiction disorder,https://www.youtube.com/watch?v=SKwLz6aI3aU
Obsessive compulsitve disorder,https://www.youtube.com/watch?v=kfj_76CHcvY
Social anxiety disorder,https://www.youtube.com/watch?v=q1YAA8xmydM
Panic disorder,https://www.youtube.com/watch?v=YIlDiZzW7lw
Schizophrenia,https://www.youtube.com/watch?v=0-fAqgTYmKs
Adjustment disorder,https://www.youtube.com/watch?v=B9_HVnTRflc
bipolar disorder,https://www.youtube.com/watch?v=B9_HVnTRflc
Posttraumatic stress disorder,https://www.youtube.com/watch?v=y8jj12DnAys
